㔂	lân
㤉	gê
㧌	mau
㧎	khê
㧒	hiat
㧣	tu
㧻	tok
㨂	tàng
㨑	tsang
㨨	liû
㨻	tsānn
㴘	bāu
㴙	tsha̍p
㷮	tsau
㽎	sìm
㾀	khiap
䀐	siam
䆀	bái
䈄	ham
䖙	the
䖳	thē
䘥	kah
䘼	ńg
䠡	tshê
䢢	tshiāng
䫌	phué
䲅	kui
一	tsi̍t, it, --tsi̍t
丁	ting
七	tshit, tshi
丈	tiūnn, tiōng, tn̄g
三	sann, sam, sàm, san
上	siōng, tsiūnn, tshiūnn, siāng, sióng, --siōng
下	ē, hā, e, hē
不	put, puh
丑	thiú
且	tshiánn
世	sè, sì
丘	khu, khiu
丙	piánn, píng
丟	tiu
並	phīng, pīng
个	ê
中	tiong, tiòng, tìng
串	tshuàn, tshǹg
丸	uân
丹	tan
主	tsú
丼	tôm
久	kú, kiú
么	io
之	tsi
乍	tsànn
乎	honnh, --honnh
乏	ha̍t, hua̍t
乖	kuai
乘	sīng, sîng
乙	it
乜	mí
九	káu, kiú
乞	khit
也	iā
乩	ki
乳	lú, jú
乾	kuann, kan, khiân, ta
亂	luān, lān
了	liáu, --liáu
予	hōo, hō
事	sū, tāi
二	jī, lī, --lī, --jī
云	ûn
互	hōo
五	gōo, ngóo
井	tsénn, tsínn, tsíng
亞	a
亡	bông
交	kau, ka, kiau, kāu
亥	hāi
亦	i̍k
亨	hing
享	hiáng, hióng
京	kiann, king
亭	tîng
亮	liāng, liōng
人	lâng, jîn, lîn, --lâng
仁	jîn, lîn
仄	tseh
仆	phak
仇	siû, kiû
今	kin, tann, kim
介	kài
仔	á, --á, ah, tsú
仕	sū
他	thann, ta
仗	tiōng
付	hù
仙	sian, sián
仝	kāng, kâng
仟	tshian
代	tāi, tài, tē, tè
令	līng, lîng
以	í
仰	gióng, ióng
仲	tiōng
仵	ngóo
件	kiānn
任	jīm, līm, jîm, lîm
份	hūn
仿	hóng
企	khì
伊	i, --i
伍	ngóo
伏	ho̍k
伐	hua̍h, hua̍t
休	hiu
伙	hué, hé
伨	thīn
伯	peh, pit, phik, pik
估	kóo
伴	phuānn, phuān
伶	líng
伸	tshun, sin
伻	phenn
似	sāi, sū
佃	tiān
但	nā, tān
佇	tī
佈	pòo
位	uī
低	kē
住	tsū
佐	tsò
佑	iū
佔	tsiàm
何	hô, uâ
佗	tó, toh, tá
佘	siâ
余	î, û
佛	hu̍t, pu̍t
作	tsok, tsoh
佟	tông
你	lí, --lí
佩	puē, phuè
佬	láu, ló
佮	kah, kap
佯	tènn, tìnn
佳	ka, kha
併	pìng
使	sái, sú, sài, sù
來	lâi, --lâi, lai
例	lē
侍	sāi, sū
侗	tòng
供	king, kiong, kìng
依	i
侮	bú
侯	hôo, hâu, kâu
侵	tshim
侷	kio̍k
侹	thiānn
便	piān, pân
係	hē
促	tshik, tshiok
俄	ngôo, gô
俊	tsùn
俍	lāng
俏	tshio, tshiàu
俐	lī
俗	sio̍k, sio̍h
俘	hu
俚	lí
保	pó
俞	lû, jû, jî
俠	kiap
信	sìn
修	siu
俯	hú
俱	khū
俳	pai, pâi
俸	hōng
俺	án
倆	lióng
倉	tshng, tshong
個	kò
倌	kuann
倍	puē
倏	suā
倒	tò, tó, tho̍h, --tó
倖	hīng, sīng
候	hāu
倚	uá, í
借	tsioh, tsià
倡	tshiòng, tshiong
倦	kuān
倩	tshiànn
倪	gê
倫	lûn
倭	e
倯	sông
值	ta̍t, ti̍t
偃	ián
假	ké, ká, kà, kè
偉	uí
偌	guā, juā
偏	phian, phinn
偕	kai
做	tsò, tsuè
停	thîng
偝	āinn, iāng
健	kiān, kiānn
側	tshik
偵	tsing
偶	ngóo
偷	thau
偽	guī
傀	ka, khuí
傅	hū, pòo
傍	pn̄g, pōng
傑	kia̍t
傘	suànn, sàn
備	pī
催	tshui
傱	tsông
傲	ngōo
傳	thuân, thn̂g, tuān
債	tsè
傷	siunn, siong
傾	khing
僆	nuā
像	tshiūnn, siōng
僑	kiâu
僕	po̍k
僚	liâu
僥	hiau
僧	tsing, sing
僫	oh
僭	tsiàm
僵	khiong
價	kè, kà
僻	phiah
儀	gî
億	ik
儉	khiām
儑	gām
儒	lû, jû
儘	tsīn, tsín
償	siông, sióng
儡	lé
優	iu
儱	láng
儲	tû
儳	sâm
儼	giám
允	ín, ún
元	guân
兄	hiann, hing
充	tshiong
兆	tiāu
兇	hiong
先	sing, sian, sin
光	kong, kng
克	khik
兌	tuī, tuē
免	bián
兒	jî, lî
兔	thòo
兜	tau
